tag number,Running bleed,Latest Bleed,Earliest bleed,Bleed point in range,weeks age at bleed,Gender,bleed number,latest bleed number,Lookup number,Countif included,Parameter bleed list,Grouped genotype,Date of Bleed,Tag trimmed,Combined name & treatment,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),0,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),0,Treatment,Days post treatment,Unique note,aus,Date of bleed,Status,Unique mouse number
23145 >12 - 24,23145 >12 - 24-2,23145 >12 - 24-2,,yes,17.1,Male,2,2,,,,Vav-cre; Cbpf/f (mixed) >12 - 24,11/3/17,23145,Vav-cre; Cbpf/f,7/6/17,13.5,4.6,7.12,1.5,0.23,9.23,12.4,39,42.2,13.4,31.8,23.9,480,6.6,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43042,,
23511 >8 - 12,23511 >8 - 12-1,23511 >8 - 12-1,23511 >8 - 12-1,yes,9.5,Female,1,1,,,,,11/3/17,23511,Vav-cre: Cbpf/+,8/28/17,10.16,1.39,8.21,0.54,0.02,10.24,15.5,45.4,44.3,15.1,34.1,18.5,582,4.3,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43042,,
23555 >8 - 12,23555 >8 - 12-1,23555 >8 - 12-1,23555 >8 - 12-1,yes,10,Female,1,1,,,23555 >8 - 12-1,Vav-cre; Brca1f/+; Cbpf/f >8 - 12,11/3/17,23555,Vav-cre; Brca1f/+; Cbpf/f,8/25/17,40.56,15.5,17.74,3.48,2.94,4.01,7.4,18.5,46.1,18.5,40,36.1,762,8.3,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43042,,
23559 >8 - 12,23559 >8 - 12-1,23559 >8 - 12-1,23559 >8 - 12-1,yes,8.4,Female,1,1,213,1,23559 >8 - 12-1,vav-cre; brca1f/f (mixed) >8 - 12,11/3/17,23559,Vav-cre; Brca1f/f (Cbp),9/5/17,1.96,0.63,1.01,0.23,0.07,5.64,9.7,29.9,53.1,17.2,32.4,17.7,372,5.8,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43042,,
23681 -4-8,23681 -4-8-1,23681 -4-8-1,23681 -4-8-1,yes,5.5,Female,1,1,,,23681 -4-8-1,Vav-cre; Cbpf/f (mixed) -4-8,11/3/17,23681,Vav-cre; Cbpf/f,9/25/17,15.06,5.35,5.8,3.75,0.14,6.6,9.4,31.4,47.6,14.2,29.9,35.3,534,7,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43042,,23681
23682 -4-8,23682 -4-8-1,23682 -4-8-1,23682 -4-8-1,yes,5.5,Female,1,1,,,23682 -4-8-1,Vav-cre; Cbpf/+ -4-8,11/3/17,23682,Vav-cre; Cbpf/+,9/25/17,10.08,2.14,7.43,0.49,0.02,9.23,14.9,43.8,47.5,16.1,34,21.5,505,4.8,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43042,,23682
23683 -4-8,23683 -4-8-1,23683 -4-8-1,23683 -4-8-1,yes,5.5,Female,1,1,214,1,23683 -4-8-1,WT (mixed) -4-8,11/3/17,23683,Cbpf/f,9/25/17,11.3,1.39,9.33,0.56,0.02,8.82,14.5,43.5,49.3,16.4,33.3,20.7,686,4.6,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43042,,23683
,,,,,,,,,,,,Genotype,Date of Bleed,out,Genotype,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),Notes,#N/A,#N/A,,Notes,Date of Bleed,,
23122 >12 - 24,23122 >12 - 24-3,23122 >12 - 24-3,,yes,20.1,Female,3,3,,,,vav-cre >12 - 24,11/16/17,23122,Vav-cre,6/28/17,10.04,1.97,7.71,0.33,,10.27,15.4,44.9,43.7,15,34.3,18.3,868,4.4,Vav; Brca1 pure colony NON-Tx Bleeds,#N/A,#N/A,,Vav; Brca1 pure colony NON-Tx Bleeds,43055,,
23124 >12 - 24,23124 >12 - 24-3,23124 >12 - 24-3,,yes,20.1,Female,3,3,,,,vav-cre; brca1f/+ (pure) >12 - 24,11/16/17,23124,Vav-cre; Brca1f/+,6/28/17,13.86,3.21,10.35,0.27,,9.67,14.9,43.5,45,15.4,34.3,18.8,822,4.3,Vav; Brca1 pure colony NON-Tx Bleeds,#N/A,#N/A,,Vav; Brca1 pure colony NON-Tx Bleeds,43055,,
23125 >12 - 24,23125 >12 - 24-3,23125 >12 - 24-3,,yes,20.1,Female,3,3,,,,Vav-cre; Brca1f/f (pure) >12 - 24,11/16/17,23125,Vav-cre; Brca1f/f,6/28/17,1.14,0.56,0.41,0.16,,3.16,5.1,17.6,55.7,16.1,29,20.8,108,7.2,Vav; Brca1 pure colony NON-Tx Bleeds,#N/A,#N/A,,Vav; Brca1 pure colony NON-Tx Bleeds,43055,,
23312 >12 - 24,23312 >12 - 24-2,23312 >12 - 24-2,,yes,16.1,Male,2,2,,,,vav-cre; brca1f/+ (pure) >12 - 24,11/16/17,23312,Vav-cre; Brca1f/+,7/26/17,9.24,2.29,6.74,0.18,,9.64,15.3,43.7,45.3,15.9,35,16.8,738,4.4,Vav; Brca1 pure colony NON-Tx Bleeds,#N/A,#N/A,,Vav; Brca1 pure colony NON-Tx Bleeds,43055,,
23314 >12 - 24,23314 >12 - 24-2,23314 >12 - 24-2,,yes,16.1,Male,2,2,,,,WT (pure) >12 - 24,11/16/17,23314,Brca1f/f,7/26/17,9.46,2.06,7.12,0.25,,10.24,15.6,45.7,44.6,15.2,34.1,18,950,5.1,Vav; Brca1 pure colony NON-Tx Bleeds,#N/A,#N/A,,Vav; Brca1 pure colony NON-Tx Bleeds,43055,,
23315 >12 - 24,23315 >12 - 24-2,,,yes,16.1,Male,2,3,,,,Vav-cre; Brca1f/f (pure) >12 - 24,11/16/17,23315,Vav-cre; Brca1f/f,7/26/17,2.52,1.14,1.08,0.28,,7.55,13.1,39.3,52,17.4,33.3,19.3,817,5,Vav; Brca1 pure colony NON-Tx Bleeds,#N/A,#N/A,,Vav; Brca1 pure colony NON-Tx Bleeds,43055,,
23316 >12 - 24,23316 >12 - 24-2,23316 >12 - 24-2,,yes,16.1,Male,2,2,,,,vav-cre; brca1f/+ (pure) >12 - 24,11/16/17,23316,Vav-cre; Brca1f/+,7/26/17,7.9,2.08,5.46,0.24,,9.85,14.9,45,45.7,15.1,33.1,16.7,633,4.9,Vav; Brca1 pure colony NON-Tx Bleeds,#N/A,#N/A,,Vav; Brca1 pure colony NON-Tx Bleeds,43055,,
23748 -4-8,23748 -4-8-1,,23748 -4-8-1,yes,6.4,Male,1,2,,,23748 -4-8-1,Vav-cre; Brca1f/f (pure) -4-8,11/16/17,23748,Vav-cre; Brca1f/f,10/2/17,0.74,0.28,0.33,0.11,,5.8,11.2,35.4,61,19.3,31.6,23.5,262,6.7,Vav; Brca1 pure colony NON-Tx Bleeds,#N/A,#N/A,,Vav; Brca1 pure colony NON-Tx Bleeds,43055,,23748
23749 -4-8,23749 -4-8-1,23749 -4-8-1,23749 -4-8-1,yes,6.4,Male,1,1,,,23749 -4-8-1,vav-cre; brca1f/+ (pure) -4-8,11/16/17,23749,Vav-cre; Brca1f/+,10/2/17,10.8,2.49,8.01,0.29,,10.51,16.7,49.3,46.9,15.9,33.9,18.3,860,4.5,Vav; Brca1 pure colony NON-Tx Bleeds,#N/A,#N/A,,Vav; Brca1 pure colony NON-Tx Bleeds,43055,,23749
23750 -4-8,23750 -4-8-1,23750 -4-8-1,23750 -4-8-1,yes,6.4,Male,1,1,,,23750 -4-8-1,vav-cre; brca1f/+ (pure) -4-8,11/16/17,23750,Vav-cre; Brca1f/+,10/2/17,10.54,3.32,6.88,0.3,,10.68,16.8,49.4,46.3,15.7,34,18.6,784,4.5,Vav; Brca1 pure colony NON-Tx Bleeds,#N/A,#N/A,,Vav; Brca1 pure colony NON-Tx Bleeds,43055,,23750
23752 -4-8,23752 -4-8-1,23752 -4-8-1,23752 -4-8-1,yes,6.4,Male,1,1,,,23752 -4-8-1,WT (pure) -4-8,11/16/17,23752,Brca1f/+,10/2/17,15.46,5.23,9.84,0.35,,10.72,17.7,51.2,47.8,16.5,34.6,17.2,956,4.5,Vav; Brca1 pure colony NON-Tx Bleeds,#N/A,#N/A,,Vav; Brca1 pure colony NON-Tx Bleeds,43055,,23752
,,,,,,,,,,,,Genotype,Date of Bleed,out,Genotype,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),Notes,#N/A,#N/A,,Notes,Date of Bleed,,
23477 >12 - 24,23477 >12 - 24-1,23477 >12 - 24-1,23477 >12 - 24-1,yes,13,Female,1,1,,,23477 >12 - 24-1,Becn+/- >12 - 24,11/16/17,23477,Brca1f/+; Becn+/-,8/17/17,11,1.55,9.21,0.2,,9.89,15.7,43.1,43.6,15.9,36.4,18.1,661,4.2,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43055,,
23478 >12 - 24,23478 >12 - 24-1,23478 >12 - 24-1,23478 >12 - 24-1,yes,13,Female,1,1,,,23478 >12 - 24-1,Vav-cre; Brca1f/f; Becn+/- >12 - 24,11/16/17,23478,Vav-cre; Brca1f/f; Becn+/-,8/17/17,0.36,0.12,0.16,0.08,,2.04,3.4,9.9,48.5,16.7,34.3,19.4,25,7.5,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43055,,
23530 >12 - 24,23530 >12 - 24-1,23530 >12 - 24-1,23530 >12 - 24-1,yes,12,Female,1,1,,,23530 >12 - 24-1,Vav-cre; Brca1f/+ (mixed) >12 - 24,11/16/17,23530,Vav-cre; Brca1f/+ (Beclin),8/24/17,12.38,2.27,9.52,0.45,,9.15,14.7,41.7,45.6,16.1,35.3,17.2,529,5.1,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43055,,
23532 >12 - 24,23532 >12 - 24-1,23532 >12 - 24-1,23532 >12 - 24-1,yes,12,Male,1,1,,,23532 >12 - 24-1,Becn+/- >12 - 24,11/16/17,23532,Becn+/-,8/24/17,7.3,1.6,5.56,0.13,,10.27,16,45.5,44.3,15.6,35.2,17.3,805,4.7,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43055,,
23533 >12 - 24,23533 >12 - 24-1,23533 >12 - 24-1,23533 >12 - 24-1,yes,12,Male,1,1,,,23533 >12 - 24-1,Vav-cre; Brca1f/+; Becn+/- >12 - 24,11/16/17,23533,Vav-cre; Brca1f/+; Becn+/-,8/24/17,7.54,1.55,5.76,0.21,,10.15,15.2,44.3,43.6,15,34.3,18.5,673,4.7,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43055,,
23563 >8 - 12,23563 >8 - 12-2,23563 >8 - 12-2,,yes,11,Male,2,2,,,,Vav-cre; Brca1f/+; Becn+/- >8 - 12,11/16/17,23563,Vav-cre; Brca1f/+; Becn+/-,8/31/17,11.82,2.2,9.29,0.29,,9.77,16,46.8,47.9,16.4,34.2,17.6,772,4.3,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43055,,
23564 >8 - 12,23564 >8 - 12-2,23564 >8 - 12-2,,yes,11,Male,2,2,,,,Vav-cre; Brca1f/+; Becn+/- >8 - 12,11/16/17,23564,Vav-cre; Brca1f/+; Becn+/-,8/31/17,10.92,1.88,8.63,0.38,,9.92,15.2,43.6,44,15.3,34.9,16.9,813,4.5,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43055,,
,,,,,,,,,,,,Genotype,Date of Bleed,out,Genotype,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),Notes,#N/A,#N/A,,Notes,Date of Bleed,,
,,,,,25.1,,,,,,,vav-cre (p53),11/17/17,22874,Vav-cre (p53+/+),5/25/17,9.14,2.73,6.23,0.17,,9.82,15.7,45.1,45.9,16,34.8,18.3,1350,4.8,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,
,,,,,25.1,,,,,,,p53+/- (mixed),11/17/17,22873,p53+/-,5/25/17,9.74,2.95,6.55,0.16,,9.6,15.7,44.4,46.3,16.4,35.4,17.3,954,4.6,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,
,,,,,25.1,,,,,,,vav-cre; p53+/-,11/17/17,22872,Vav-cre; p53+/-,5/25/17,9.54,1.98,7.23,0.21,,9.37,14.5,40.1,42.8,15.5,36.2,18.4,857,5.3,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,
23150 >12 - 24,23150 >12 - 24-2,23150 >12 - 24-2,,yes,18.7,Female,2,2,,,,p53+/- (mixed) >12 - 24,11/17/17,23150,p53+/-,7/9/17,9.8,2.44,7.21,0.14,,10.71,15.9,44.9,41.9,14.8,35.4,18.1,1013,4.8,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,
23577 >8 - 12,23577 >8 - 12-2,23577 >8 - 12-2,,yes,11.4,Male,2,2,#N/A,#N/A,#N/A,#N/A,11/17/17,23577,Vav-cre; Brca1f/+ (p53+/+),8/29/17,13.88,3.31,10.3,0.22,,10.66,16.2,45.7,42.9,15.2,35.4,17.3,883,4.6,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,
23576 >8 - 12,23576 >8 - 12-2,23576 >8 - 12-2,,yes,11.4,Male,2,2,,,,vav-cre; brca1f/+; p53+/- >8 - 12,11/17/17,23576,Vav-cre; Brca1f/+; p53+/-,8/29/17,14.7,3.62,10.73,0.3,,10.42,15.9,46,44.1,15.3,34.6,18.2,883,4.8,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,
23574 >8 - 12,23574 >8 - 12-2,23574 >8 - 12-2,,yes,11.4,Male,2,2,,,,WT (mixed) >8 - 12,11/17/17,23574,WT (p53+/+),8/29/17,10.96,2.71,7.96,0.23,,10.39,15.9,45.9,44.2,15.3,34.6,17.3,820,5.1,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,
23672 -4-8,23672 -4-8-2,23672 -4-8-2,,yes,7.8,Female,2,2,#N/A,#N/A,#N/A,#N/A,11/17/17,23672,Vav-cre; Brca1f/+ (p53+/+),9/23/17,10.52,1.94,8.21,0.32,,10.03,15.5,46.2,46.1,15.5,33.5,17.5,652,4.8,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,
23671 -4-8,23671 -4-8-2,23671 -4-8-2,,yes,7.8,Female,2,2,,,,WT (mixed) -4-8,11/17/17,23671,WT (p53+/+),9/23/17,14.66,2.41,11.72,0.49,,10.24,17.2,48.5,47.4,16.8,35.5,16.9,858,5.3,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,
23670 -4-8,23670 -4-8-2,23670 -4-8-2,,yes,7.8,Female,2,2,,,,vav-cre; brca1f/+; p53+/- -4-8,11/17/17,23670,Vav-cre; Brca1f/+; p53+/-,9/23/17,15.08,2.14,12.08,0.84,,10.1,15.9,44.9,44.5,15.7,35.4,18,727,4.6,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,
23774 -4-8,23774 -4-8-1,23774 -4-8-1,23774 -4-8-1,yes,6.2,Female,1,1,,,23774 -4-8-1,vav-cre; brca1f/+; p53+/- -4-8,11/17/17,23774,Vav-cre; Brca1f/+; p53+/-,10/4/17,12.32,2.3,9.61,0.39,,9.62,15.7,46.4,48.2,16.3,33.8,20.4,681,4.4,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,23774
23772 -4-8,23772 -4-8-1,23772 -4-8-1,23772 -4-8-1,yes,6.2,Female,1,1,,,23772 -4-8-1,p53+/- (mixed) -4-8,11/17/17,23772,Brca1f/f; p53+/-,10/4/17,12.16,2.07,9.74,0.32,,9.24,14.7,44.4,48.1,15.9,33.1,18.8,680,4.6,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,23772
23771 -4-8,23771 -4-8-1,23771 -4-8-1,23771 -4-8-1,yes,6.2,Female,1,1,,,23771 -4-8-1,vav-cre; brca1f/+; p53+/- -4-8,11/17/17,23771,Vav-cre; Brca1f/+; p53+/-,10/4/17,8.2,2.07,5.7,0.41,,9.42,15.1,42.3,44.9,16,35.7,19.7,719,5.1,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,23771
23766 -4-8,23766 -4-8-1,23766 -4-8-1,23766 -4-8-1,yes,5.7,Male,1,1,215,1,23766 -4-8-1,WT (mixed) -4-8,11/17/17,23766,Brca1f/+ (p53+/+),10/8/17,13.06,2.46,10.06,0.51,,9.89,16.2,50.7,51.3,16.4,32,19.9,828,4.5,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,23766
23767 -4-8,23767 -4-8-1,23767 -4-8-1,23767 -4-8-1,yes,5.7,Male,1,1,,,23767 -4-8-1,p53+/- (mixed) -4-8,11/17/17,23767,Brca1f/f; p53+/-,10/8/17,9.66,2.11,7.27,0.28,,9.84,16.1,50.6,51.4,16.4,31.8,19.4,731,4.4,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,23767
23769 -4-8,23769 -4-8-1,23769 -4-8-1,23769 -4-8-1,yes,5.7,Male,1,1,,,23769 -4-8-1,vav-cre (p53) -4-8,11/17/17,23769,Vav-cre (p53+/+),10/8/17,12.48,2.42,9.82,0.2,,9.86,15.7,47.2,47.9,15.9,33.3,18.3,857,4.2,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,23769
23768 -4-8,23768 -4-8-1,23768 -4-8-1,23768 -4-8-1,yes,5.7,Male,1,1,216,1,23768 -4-8-1,Vav-cre; Brca1f/f; p53+/- -4-8,11/17/17,23768,Vav-cre; Brca1f/f; p53+/-,10/8/17,4.66,1.15,3.33,0.17,,8.46,15.2,46.2,54.3,18,32.9,16.9,594,4.5,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,23768
23770 -4-8,23770 -4-8-1,23770 -4-8-1,23770 -4-8-1,yes,5.7,Male,1,1,217,1,23770 -4-8-1,Vav-cre; Brca1f/f; p53+/- -4-8,11/17/17,23770,Vav-cre; Brca1f/f; p53+/-,10/8/17,4.02,1.03,2.86,0.13,,7.95,14.6,46,57.9,18.4,31.7,18.6,632,4.2,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,23770
23819 -4-8,23819 -4-8-1,23819 -4-8-1,23819 -4-8-1,yes,5.4,Male,1,1,218,1,23819 -4-8-1,WT (mixed) -4-8,11/17/17,23819,WT (p53+/+),10/10/17,6.44,1.03,5.03,0.32,,7.48,12.2,36.7,49,16.3,33.2,18.4,524,5.1,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,23819
23818 -4-8,23818 -4-8-1,23818 -4-8-1,23818 -4-8-1,yes,5.4,Male,1,1,219,1,23818 -4-8-1,WT (mixed) -4-8,11/17/17,23818,WT (p53+/+),10/10/17,9.08,3.21,5.54,0.28,,10.01,17.1,52.9,52.8,17.1,32.3,21.9,584,4.4,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,23818
23817 -4-8,23817 -4-8-1,23817 -4-8-1,23817 -4-8-1,yes,5.4,Male,1,1,,,23817 -4-8-1,p53+/- (mixed) -4-8,11/17/17,23817,p53+/-,10/10/17,11.88,3.66,8.02,0.18,,10.12,16.9,49.8,49.2,16.7,33.9,18.2,781,4.4,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,23817
23816 -4-8,23816 -4-8-1,23816 -4-8-1,23816 -4-8-1,yes,5.4,Male,1,1,,,23816 -4-8-1,p53+/- (mixed) -4-8,11/17/17,23816,p53+/-,10/10/17,12.48,2.24,9.49,0.73,,10.78,17.6,52.7,48.9,16.3,33.4,19.6,909,4.6,Vav-cre; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav-cre; Brca1; p53 colony NON-Tx bleeds,43056,,23816
,,,,,,,,,,,,Genotype,Date of Bleed,out,Genotype,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),Notes,#N/A,#N/A,,Notes,Date of Bleed,,
,,,,,44.4,,,,,,,WT (mixed),11/22/17,21980,Cbpf/+,1/15/17,4.14,1.07,2.92,0.15,0,9.06,13.6,38.1,42,15,35.7,17.2,893,5.1,Terminal bleeds (NON-Tx),#N/A,#N/A,,Terminal bleeds (NON-Tx),43061,,
23315 >12 - 24,23315 >12 - 24-3,23315 >12 - 24-3,,yes,17,Male,3,3,,,,Vav-cre; Brca1f/f (pure) >12 - 24,11/22/17,23315,Vav-cre; Brca1f/f,7/26/17,2.34,1.28,0.74,0.16,0.16,7.24,12.4,37.6,52,17.1,33,19.4,630,5.3,Terminal bleeds (NON-Tx),#N/A,#N/A,,Terminal bleeds (NON-Tx),43061,,
23520 >12 - 24,23520 >12 - 24-1,23520 >12 - 24-1,23520 >12 - 24-1,yes,12,Female,1,1,220,1,23520 >12 - 24-1,WT (mixed) >12 - 24,11/22/17,23520,Brca1f/+; Cbpf/+,8/30/17,4.42,0.58,3.59,0.25,0,9.41,13.3,40.2,42.7,14.1,33.1,18,755,4.1,Terminal bleeds (NON-Tx),#N/A,#N/A,,Terminal bleeds (NON-Tx),43061,,23520
23521 >12 - 24,23521 >12 - 24-1,23521 >12 - 24-1,23521 >12 - 24-1,yes,12,Female,1,1,221,1,23521 >12 - 24-1,WT (mixed) >12 - 24,11/22/17,23521,Brca1f/+; Cbpf/+,8/30/17,4.08,0.66,3.24,0.17,0,8.68,14,39.4,45.4,16.1,35.5,17.2,805,4.6,Terminal bleeds (NON-Tx),#N/A,#N/A,,Terminal bleeds (NON-Tx),43061,,23521
23555 >12 - 24,23555 >12 - 24-1,23555 >12 - 24-1,23555 >12 - 24-1,yes,12.7,Female,1,1,,,23555 >12 - 24-1,Vav-cre; Brca1f/+; Cbpf/f >12 - 24,11/22/17,23555,Vav-cre; Brca1f/+; Cbpf/f,8/25/17,15.04,5.42,6.31,2.52,0.56,2.67,4.9,12.5,47,18.4,39.2,37.5,333,7.4,Terminal bleeds (NON-Tx),#N/A,#N/A,,Terminal bleeds (NON-Tx),43061,,
23558 >8 - 12,23558 >8 - 12-1,23558 >8 - 12-1,23558 >8 - 12-1,yes,11.8,Male,1,1,,,23558 >8 - 12-1,Vav-cre; Brca1f/f; Cbpf/+ >8 - 12,11/22/17,23558,Vav-cre; Brca1f/f; Cbpf/+,8/31/17,0.6,0.25,0.29,0.05,0.01,5.85,11,36,61.6,18.8,30.6,20.1,213,6.1,Terminal bleeds (NON-Tx),#N/A,#N/A,,Terminal bleeds (NON-Tx),43061,,
23748 -4-8,23748 -4-8-2,23748 -4-8-2,,yes,7.2,Male,2,2,,,,Vav-cre; Brca1f/f (pure) -4-8,11/22/17,23748,Vav-cre; Brca1f/f,10/2/17,0.74,0.26,0.37,0.09,0.01,3.78,6.5,21.7,57.3,17.2,30,24.4,171,7.1,Terminal bleeds (NON-Tx),#N/A,#N/A,,Terminal bleeds (NON-Tx),43061,,
,,,,,,,,,,,,Genotype,Date of Bleed,out,Genotype,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),Notes,#N/A,#N/A,,Notes,Date of Bleed,,
,,,,,27,,,,,,,WT (mixed),12/1/17,22868,Cbpf/+,5/26/17,6.78,1.2,5.39,0.19,0,9.6,15,48.5,50.5,15.6,30.9,19.5,636,5.1,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,
23147 >12 - 24,23147 >12 - 24-2,23147 >12 - 24-2,,yes,20,Female,2,2,,,,WT (mixed) >12 - 24,12/1/17,23147,Brca1f/+; Cbpf/f,7/14/17,13.12,0.96,11.43,0.72,0.01,11.08,15.5,49.6,44.8,14,31.2,18.8,753,4.2,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,
23427 >12 - 24,23427 >12 - 24-1,23427 >12 - 24-1,23427 >12 - 24-1,yes,15.1,Male,1,1,,,23427 >12 - 24-1,Vav-cre; Brca1f/+; Cbpf/f >12 - 24,12/1/17,23427,Vav-cre; Brca1f/+; Cbpf/f,8/17/17,17.12,2.32,12.67,2.1,0.02,10.29,11.3,43.9,42.7,11,25.7,35.7,1879,6.7,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,
23471 >12 - 24,23471 >12 - 24-1,23471 >12 - 24-1,23471 >12 - 24-1,yes,14.7,Male,1,1,222,1,23471 >12 - 24-1,WT (mixed) >12 - 24,12/1/17,23471,Brca1f/f; Cbpf/f,8/20/17,12.9,1.61,10.9,0.38,0.01,9.24,14.7,41.8,45.2,15.9,35.2,20.8,570,5.7,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,23471
